CROSSING,FINISSHING,HEADING_ACCURACY,SHORT_PASSING,VOLLEYS,DRIBBLING,CURVE,FREE_KICK_ACCURACY,LONG_PASSING,BALL_CONTROL,ACCELERATION,SPRINT_SPEED,AGILITY,REACTION,BALANCE,SHOT_POWER,JUMPING,STAMINA,STRENGTH,LONG_SHOTS,y
59.226643,60.7255,76.02602,70.39617,59.217407,53.80994,68.75228,67.76963,64.64168,67.28037,58.420418,60.73179,59.81019,77.25636,73.45267,61.281082,79.0708,69.7479,80.26034,70.029976,0.0
40.75604,30.619396,46.142048,53.385834,32.088223,41.667244,53.61215,30.89246,46.158096,52.223694,60.88985,76.91079,54.496708,60.18707,76.34183,46.85734,57.97147,74.10369,64.708405,35.726376,0.0
54.945526,64.719666,60.45818,75.41385,47.434406,62.800507,70.846886,66.211075,72.77929,70.08875,65.24563,65.748924,76.500145,73.81475,78.35046,59.553898,58.083973,69.28521,58.51962,71.558235,0.0
39.298546,29.525322,76.40633,64.60544,30.711388,41.571457,34.28298,30.995584,57.479637,54.73109,57.4594,72.213776,60.573532,77.567,78.15923,52.658157,78.90198,77.29904,80.26302,35.167004,0.0
52.32828,69.07659,71.30324,66.77679,59.76023,62.26792,61.67355,61.31337,48.72673,64.18336,66.916145,77.92102,69.647995,73.57143,75.09652,67.413025,58.168507,78.38859,79.34655,66.64184,0.0
56.668884,59.54826,75.34089,74.61687,37.754864,43.40628,48.354553,67.57319,67.42084,54.378582,55.56197,58.25017,54.044357,77.2431,70.64086,77.325874,57.972435,71.0339,80.26305,71.938835,0.0
50.985325,38.87197,74.8843,70.68815,51.65812,54.585262,64.864296,67.057014,66.22823,63.292233,56.9362,60.201397,62.675903,65.86209,68.003494,69.138916,79.0766,72.308014,80.24056,72.317505,0.0
44.568916,68.73276,63.57109,54.392326,66.49765,61.76547,68.718956,67.73615,45.927948,59.455658,75.32356,78.225975,77.30023,60.20163,74.61605,59.67142,73.57122,57.192017,58.51968,71.63556,0.0
54.6725,63.35533,46.159584,73.79982,43.624664,63.51811,70.41621,66.89174,72.50855,69.25186,67.48073,66.55018,76.25413,60.19668,78.32874,58.760937,57.97157,63.913925,58.51962,71.39139,0.0
49.99408,64.139534,61.579304,51.898777,59.484745,69.08339,69.856445,67.85792,46.277107,53.284874,60.164406,61.68236,78.77338,60.187805,74.30301,58.427364,79.07919,58.92331,58.51962,72.138435,0.0
46.78539,44.870056,76.13574,71.425804,55.237633,56.232872,54.288853,51.558422,64.22306,63.577053,55.87477,61.056473,55.34639,73.888275,59.908844,75.233925,60.52925,70.30153,80.26305,69.42309,0.0
