CROSSING,FINISSHING,HEADING_ACCURACY,SHORT_PASSING,VOLLEYS,DRIBBLING,CURVE,FREE_KICK_ACCURACY,LONG_PASSING,BALL_CONTROL,y
48.446957,29.440243,54.592777,55.003838,34.951454,40.712353,35.239223,60.975174,53.626465,49.56761,0.0
49.76589,37.80417,74.48969,60.0945,45.97908,40.705048,51.622574,55.425827,53.6332,56.006516,0.0
55.035667,56.99882,62.851482,70.44898,55.694157,58.856796,65.427155,67.18575,69.03105,67.05078,0.0
52.241096,41.32872,47.60983,65.41309,50.992046,59.268818,47.419777,43.89587,59.66674,61.005817,0.0
38.396793,31.886084,76.39488,52.592514,36.286453,40.784653,34.246964,30.879803,49.71243,64.13977,0.0
50.854935,29.29362,58.36489,75.97402,29.905916,59.49996,70.26658,64.063515,73.37656,67.68378,0.0
56.37425,68.95298,73.52742,72.19064,67.38531,73.404755,62.94831,67.49543,71.373955,75.38167,0.0
45.416294,38.23207,51.107147,78.70897,53.539097,65.90397,62.246517,63.020325,73.79125,74.882256,0.0
54.27032,46.33637,49.18767,60.58398,53.03188,57.20912,39.673836,50.994083,57.55509,57.863922,0.0
44.012264,65.69191,74.99936,66.0853,58.30038,55.456764,52.345802,48.387936,68.53726,66.268295,0.0
38.498405,69.17148,76.45172,68.664314,67.28938,67.921036,41.78069,30.89727,52.908676,72.86415,0.0
48.196266,37.364155,61.428257,63.2797,55.9531,46.042213,40.79894,35.528725,59.648403,57.622093,0.0
52.989616,43.268356,75.42904,73.87046,40.04535,59.38828,39.630924,33.864754,71.22394,67.37215,0.0
49.03758,29.224781,53.44194,63.41448,43.335464,48.228275,34.14483,43.073666,52.01823,52.597652,0.0
44.028465,29.890387,76.33104,64.42564,30.171907,40.65844,35.383682,53.636147,58.179035,61.305737,0.0
59.2756,48.278072,42.16971,67.55974,61.423855,71.36155,58.231262,57.705994,61.81275,68.14752,0.0
54.77619,55.197285,67.76259,70.58588,54.419167,61.887955,48.13037,46.938175,69.26948,66.63058,0.0
40.72584,29.995668,69.2771,61.847954,34.463566,46.755463,41.924515,64.82015,60.670776,56.745373,0.0
45.75522,29.301779,76.17624,60.156986,30.247406,40.63275,34.619183,66.0846,50.277355,52.21919,0.0
53.191,46.21079,74.643166,76.50516,52.25704,66.131424,51.338276,61.17177,73.10731,73.78143,0.0
54.157814,47.117718,75.07146,72.116875,39.097725,59.799805,51.93006,68.01411,72.24957,69.46627,0.0
51.244488,41.141747,60.547363,63.465534,44.35055,54.02312,45.645653,53.663322,61.515392,59.265476,0.0
48.457207,29.261538,73.58911,59.492508,30.749329,41.25741,65.94959,36.806053,58.292942,58.436283,0.0
44.84244,34.562794,69.82248,69.086136,50.82417,45.25204,34.71991,31.215906,62.650192,61.643784,0.0
45.820724,38.56306,66.91574,66.035614,51.630703,48.056637,35.781277,47.016075,63.026676,56.70217,0.0
38.403477,65.44863,48.758415,63.50208,67.63044,67.0873,63.32013,54.436157,55.569263,70.474785,0.0
52.840805,44.396458,60.610126,64.41369,48.019722,50.705128,48.33487,63.1217,62.236694,56.150978,0.0
54.431736,43.720963,52.98013,64.85938,53.621277,60.520733,50.224216,62.01878,63.06489,61.82641,0.0
48.270767,40.197857,63.51433,70.282845,55.339436,56.837727,34.791977,32.451393,65.238365,63.095802,0.0
58.451584,69.17056,64.262115,65.21804,68.274216,67.98735,60.0023,62.001255,45.74442,70.58454,0.0
56.683346,67.522,58.063503,68.35979,64.22061,71.356926,60.274868,56.346615,62.79148,72.73693,0.0
40.594624,45.659184,76.34604,76.737595,29.908073,63.347565,47.137093,43.984146,73.759964,71.10312,0.0
54.84181,64.73758,55.525097,58.721283,60.68956,65.94687,52.105125,58.856537,55.53263,60.704304,0.0
55.748913,29.196323,56.620373,57.86115,30.263935,48.073555,33.95797,31.779305,47.093422,52.629963,0.0
53.593033,54.82957,76.06277,65.52931,59.62444,59.756268,38.661545,45.262245,64.49481,64.36315,0.0
56.253536,62.525097,63.924202,69.596794,63.6721,69.9636,57.43212,59.373795,65.55296,70.98541,0.0
51.665226,68.84986,60.01234,60.654087,64.058136,63.062378,47.083626,37.86133,46.869938,64.09501,0.0
38.397068,41.054348,73.75832,52.67643,31.07355,52.117764,36.37244,30.885414,45.14035,62.756756,0.0
57.45747,68.04401,64.08538,61.954304,62.22993,70.06776,49.865818,46.057907,54.759003,64.264854,0.0
56.61221,55.655685,55.772297,69.145035,59.0011,69.3475,51.610455,60.26036,65.438446,67.61813,0.0
57.317444,68.0465,62.511314,74.09183,64.80518,74.44781,62.655045,62.160164,70.612,76.25982,0.0
55.58415,68.728645,76.40672,64.42552,67.12216,65.63161,46.65224,32.36581,58.724804,69.82948,0.0
53.601814,68.970055,67.60048,64.97874,65.124214,73.14207,46.636475,44.88554,56.117615,69.34886,0.0
41.851902,37.77914,75.72038,69.82583,35.157803,56.05458,62.951126,50.21023,67.537155,66.54497,0.0
49.208374,31.266577,72.64144,60.441544,31.404863,53.2109,44.85977,65.41895,61.844673,60.830376,0.0
38.456005,29.21789,75.28477,57.032974,39.23664,40.634106,34.36838,30.976927,49.140194,53.97158,0.0
49.112614,29.359936,60.697563,60.265232,32.295788,49.597572,44.189644,35.612484,58.253193,59.919983,0.0
54.957737,29.196463,64.33233,61.003094,30.145912,52.760456,39.002502,58.28921,49.681812,56.70975,0.0
56.569534,62.950104,49.04831,67.239296,54.28664,64.717476,50.52451,50.53116,59.460793,66.32592,0.0
52.804844,46.49105,53.627815,68.33371,51.362885,58.677246,37.56416,54.62835,65.73778,63.14695,0.0
52.11396,69.16932,74.71692,69.0923,68.264626,71.92885,65.948425,65.56254,64.12931,73.157814,0.0
40.642075,45.422626,53.80179,73.74242,65.83725,65.71613,68.1833,68.16763,72.09368,71.75486,0.0
38.3974,65.689835,76.36097,54.74325,29.897934,47.00221,33.91662,30.885696,55.56841,59.873165,0.0
39.036793,33.66268,73.433716,62.401947,62.62573,43.50811,36.926727,37.939056,56.385193,59.550354,0.0
38.396797,38.453136,76.32727,62.476982,30.67061,59.73914,33.84351,30.980343,59.38434,66.32238,0.0
53.86778,42.361504,62.319736,65.59945,53.101948,58.93196,44.9708,51.97167,62.517418,61.49033,0.0
38.39678,30.503351,61.18046,52.11316,36.19131,45.267536,33.82837,30.88772,45.147633,62.42223,0.0
51.47979,42.390102,70.99074,73.05895,48.47149,63.922676,42.507904,36.604286,69.573,69.42701,0.0
51.110092,41.243324,50.337418,63.367138,53.390854,54.674965,35.52239,46.70783,60.625347,57.15469,0.0
56.01418,68.773186,56.931355,61.06192,63.396374,64.78586,51.762966,51.76838,47.220314,63.263504,0.0
53.173294,31.52401,76.44866,69.67359,50.747414,40.634995,33.87056,30.894766,60.988064,61.592556,0.0
50.04327,39.3177,74.949265,71.38495,47.405952,60.420338,36.206867,34.040016,64.54676,65.72941,0.0
54.169075,39.196457,47.525852,57.01206,58.441883,51.781715,41.192444,53.861164,51.932007,53.258537,0.0
50.5789,43.72688,51.0282,66.87703,47.23748,58.744064,38.447304,42.64081,62.49222,61.585457,0.0
38.39678,69.17204,76.44178,50.6934,31.2565,66.972115,36.50485,30.884785,45.09037,71.65682,0.0
55.63436,66.041306,74.78731,74.15104,57.986595,67.96657,52.757793,56.103355,72.35352,73.05976,0.0
38.400806,29.19692,72.25149,62.075443,36.825264,42.06557,35.76261,53.055954,48.05821,57.59978,0.0
51.70433,29.660673,68.21824,61.62281,30.87544,54.401802,49.106403,46.49102,65.258,60.219357,0.0
38.524464,29.196095,71.298935,50.975113,39.874393,46.819046,42.57183,54.184338,45.12469,51.282524,0.0
44.01556,41.432682,49.99474,65.138565,55.86578,42.79524,34.57858,36.014694,61.336823,55.390564,0.0
53.917706,37.177345,61.75112,73.68661,37.347515,56.70516,41.698105,63.64857,71.72627,65.51039,0.0
52.51827,66.6162,60.842945,57.10144,56.963688,58.486572,43.056755,37.37508,45.697823,59.93857,0.0
51.74543,40.798294,72.59414,66.892136,58.432156,49.830338,56.994297,50.760124,61.99545,61.21092,0.0
38.43643,31.080421,54.158367,72.81,63.08911,61.363605,54.814476,52.140953,69.86238,68.26504,0.0
52.230713,67.727135,75.302414,62.960693,57.50399,68.0223,40.615772,37.69245,57.172077,63.080925,0.0
55.37027,29.309162,62.16905,58.025818,58.300835,52.30688,37.638054,51.850693,46.628845,54.339188,0.0
38.39678,29.197996,75.02281,52.822598,65.86311,40.649166,33.89974,64.99623,45.134003,53.71723,0.0
38.39687,30.059307,75.310555,59.53099,61.31937,42.689262,33.819458,30.894121,50.23983,62.068268,0.0
38.50996,69.172005,65.358765,54.20927,68.339325,63.938152,46.92082,56.096626,45.091103,64.2399,0.0
52.568214,42.94303,67.563225,75.58603,44.598236,57.125534,45.193966,58.4458,72.52147,67.95983,0.0
52.97408,29.199202,70.27297,62.307007,29.965593,51.934505,33.87414,31.374252,65.14163,62.796383,0.0
40.966175,29.20683,63.0172,67.18139,52.11294,49.7723,33.979847,31.187738,60.2948,57.302555,0.0
38.39679,29.229685,75.446915,53.67635,29.89564,43.081078,33.820183,30.887016,60.214348,61.21209,0.0
54.20239,47.6775,55.173416,65.20817,50.70548,63.610043,45.112663,40.3115,60.450584,65.219925,0.0
51.659817,46.72235,74.096245,69.84461,40.083996,62.608253,46.269783,47.88017,68.97851,65.04322,0.0
38.40255,59.3764,76.45171,58.542206,31.524261,67.82083,40.189556,30.880138,69.59856,63.078785,0.0
58.784447,55.664974,49.027473,66.01935,56.357826,66.47808,57.817867,57.024883,63.646408,65.17047,0.0
53.618233,46.323025,73.95521,72.7102,56.16837,70.064255,51.75991,49.002594,71.25328,74.066895,0.0
